ID,Age,Gender,Hrs,Major,SubName,YT,SubNum,Major2
3,19,Female,12,Business,"Netflix, Hulu, Amazon Prime Videos",60,3,1
6,20,Male,15,Business,None of the above,45,0,1
8,19,Female,12,Business,None of the above,60,0,1
13,20,Female,12,Business,Netflix,60,1,1
15,20,Female,15,Business,"Netflix, Amazon Prime Videos",90,2,1
16,19,Female,19,Business,"Netflix, Amazon Prime Videos",120,2,1
23,21,Female,12,Business,Amazon Prime Videos,30,1,1
25,23,Male,0,Business,"Netflix, Amazon Prime Videos",240,2,1
30,18,Female,10,Business,"Netflix, Amazon Prime Videos",300,2,1
20,21,Female,12,Communication,Netflix,60,1,5
4,20,Male,15,Education,None of the above,90,0,5
36,20,Female,15,Education,Netflix,30,1,5
7,22,Male,15,Engineering,"Netflix, Hulu",300,2,2
11,19,Female,15,Engineering,None of the above,240,0,2
31,26,Male,9,Engineering,"Netflix, Amazon Prime Videos",2,2,2
32,20,Female,12,Engineering,Amazon Prime Videos,30,1,2
41,19,Female,15,Engineering,Netflix,30,1,2
22,19,Male,12,Fine Arts,None of the above,240,0,5
29,20,Male,13,Fine Arts,None of the above,15,0,5
5,22,Male,9,Liberal Arts,None of the above,300,0,3
10,21,Male,12,Liberal Arts,"Netflix, Amazon Prime Videos",120,2,3
14,21,Male,18,Liberal Arts,Netflix,5,1,3
18,20,Male,9,Liberal Arts,None of the above,300,0,3
19,25,Male,0,Liberal Arts,None of the above,270,0,3
27,21,Female,13,Liberal Arts,"Netflix, Amazon Prime Videos",120,2,3
33,18,Male,16,Liberal Arts,None of the above,120,0,3
39,19,Female,12,Liberal Arts,None of the above,360,0,3
40,23,Female,9,Liberal Arts,"Netflix, Hulu, Amazon Prime Videos",60,3,3
43,20,Female,14,Liberal Arts,"Netflix, Hulu",120,2,3
24,22,Male,7,Maritime Administration,Netflix,180,1,5
1,21,Female,15,Natural Science,"Netflix, Hulu, Amazon Prime Videos",240,3,4
2,21,Female,13,Natural Science,"Netflix, Hulu",90,2,4
9,21,Male,10,Natural Science,Amazon Prime Videos,90,1,4
12,19,Female,19,Natural Science,Netflix,240,1,4
21,21,Male,15,Natural Science,Netflix,40,1,4
26,20,Female,15,Natural Science,Netflix,120,1,4
28,19,Male,14,Natural Science,Netflix,120,1,4
34,19,Female,16,Natural Science,Netflix,0,1,4
35,18,Female,12,Natural Science,Netflix,180,1,4
37,20,Female,12,Natural Science,"Netflix, Amazon Prime Videos",90,2,4
38,19,Female,16,Natural Science,None of the above,30,0,4
42,18,Female,14,Natural Science,Netflix,180,1,4
17,19,Female,12,Undecided,Netflix,240,1,5
